날짜,PM10,
2023-07-07:13,보통,35
2023-07-07:12,보통,41
2023-07-07:11,보통,32
2023-07-07:10,보통,34
2023-07-07:09,보통,31
2023-07-07:08,보통,33
2023-07-07:07,좋음,29
2023-07-07:06,좋음,28
2023-07-07:05,좋음,26
2023-07-07:04,좋음,26
2023-07-07:03,보통,34
2023-07-07:02,좋음,30
2023-07-07:01,보통,33
2023-07-06:24,보통,31
2023-07-06:23,보통,34
2023-07-06:22,좋음,29
2023-07-06:21,좋음,27
2023-07-06:20,좋음,28
2023-07-06:19,좋음,28
2023-07-06:18,좋음,25
2023-07-06:17,좋음,29
2023-07-06:16,좋음,29
2023-07-06:15,보통,34
2023-07-06:14,좋음,29
2023-07-06:13,좋음,27
2023-07-06:12,좋음,26
2023-07-06:11,좋음,18
2023-07-06:10,좋음,24
2023-07-06:09,좋음,18
2023-07-06:08,좋음,16
2023-07-06:07,좋음,14
2023-07-06:06,좋음,16
2023-07-06:05,좋음,16
2023-07-06:04,좋음,19
2023-07-06:03,좋음,20
2023-07-06:02,좋음,20
2023-07-06:01,좋음,21
2023-07-05:24,좋음,25
2023-07-05:23,좋음,26
2023-07-05:22,좋음,24
2023-07-05:21,좋음,18
2023-07-05:20,좋음,20
2023-07-05:19,좋음,16
2023-07-05:18,좋음,19
2023-07-05:17,좋음,11
2023-07-05:16,좋음,9
2023-07-05:15,좋음,12
2023-07-05:14,좋음,8
2023-07-05:13,좋음,2
2023-07-05:12,좋음,4
2023-07-05:11,좋음,6
2023-07-05:10,좋음,16
2023-07-05:09,좋음,5
2023-07-05:08,좋음,3
2023-07-05:07,좋음,3
2023-07-05:06,좋음,3
2023-07-05:05,좋음,2
2023-07-05:04,좋음,5
2023-07-05:03,좋음,9
2023-07-05:02,좋음,11
2023-07-05:01,좋음,14
2023-07-04:24,좋음,11
2023-07-04:23,좋음,17
2023-07-04:22,좋음,14
2023-07-04:21,좋음,22
2023-07-04:20,좋음,14
2023-07-04:19,좋음,15
2023-07-04:18,좋음,12
2023-07-04:17,좋음,10
2023-07-04:16,좋음,9
2023-07-04:15,좋음,10
2023-07-04:14,좋음,10
2023-07-04:13,좋음,14
2023-07-04:12,좋음,8
2023-07-04:11,좋음,7
2023-07-04:10,좋음,6
2023-07-04:09,좋음,8
2023-07-04:08,좋음,8
2023-07-04:07,좋음,17
2023-07-04:06,좋음,11
2023-07-04:05,좋음,6
2023-07-04:04,좋음,6
2023-07-04:03,좋음,9
2023-07-04:02,좋음,5
2023-07-04:01,좋음,4
2023-07-03:24,좋음,3
2023-07-03:23,좋음,2
2023-07-03:22,좋음,3
2023-07-03:21,좋음,3
2023-07-03:20,좋음,3
2023-07-03:19,좋음,5
2023-07-03:18,좋음,6
2023-07-03:17,좋음,8
2023-07-03:16,좋음,11
2023-07-03:15,좋음,18
2023-07-03:14,좋음,23
2023-07-03:13,보통,47
2023-07-03:12,보통,43
2023-07-03:11,보통,34
2023-07-03:10,좋음,30
2023-07-03:09,보통,31
2023-07-03:08,좋음,29
2023-07-03:07,좋음,16
2023-07-03:06,좋음,21
2023-07-03:05,좋음,14
2023-07-03:04,좋음,12
2023-07-03:03,좋음,12
2023-07-03:02,좋음,7
2023-07-03:01,좋음,7
2023-07-02:24,좋음,7
2023-07-02:23,좋음,6
2023-07-02:22,좋음,4
2023-07-02:21,좋음,5
2023-07-02:20,좋음,5
2023-07-02:19,좋음,6
2023-07-02:18,좋음,9
2023-07-02:17,좋음,18
2023-07-02:16,좋음,25
2023-07-02:15,보통,59
2023-07-02:14,보통,51
2023-07-02:13,보통,49
2023-07-02:12,보통,44
2023-07-02:11,보통,45
2023-07-02:10,좋음,28
2023-07-02:09,좋음,19
2023-07-02:08,좋음,12
2023-07-02:07,좋음,17
2023-07-02:06,좋음,14
2023-07-02:05,좋음,11
2023-07-02:04,좋음,10
2023-07-02:03,좋음,11
2023-07-02:02,좋음,16
2023-07-02:01,좋음,16
2023-07-01:24,좋음,18
2023-07-01:23,좋음,15
2023-07-01:22,좋음,14
2023-07-01:21,좋음,8
2023-07-01:20,좋음,11
2023-07-01:19,좋음,11
2023-07-01:18,좋음,15
2023-07-01:17,좋음,21
2023-07-01:16,좋음,13
2023-07-01:15,좋음,9
2023-07-01:14,좋음,6
2023-07-01:13,좋음,6
2023-07-01:12,좋음,12
2023-07-01:11,좋음,13
2023-07-01:10,좋음,13
2023-07-01:09,좋음,6
2023-07-01:08,좋음,10
2023-07-01:07,좋음,6
2023-07-01:06,좋음,8
2023-07-01:05,좋음,9
2023-07-01:04,좋음,6
2023-07-01:03,좋음,2
2023-07-01:02,좋음,6
2023-07-01:01,좋음,9
2023-06-30:24,좋음,7
2023-06-30:23,좋음,2
2023-06-30:22,좋음,2
2023-06-30:21,좋음,3
2023-06-30:20,좋음,3
2023-06-30:19,좋음,3
2023-06-30:18,좋음,3
2023-06-30:17,좋음,4
2023-06-30:16,좋음,3
2023-06-30:15,좋음,3
2023-06-30:14,좋음,5
2023-06-30:13,좋음,3
2023-06-30:12,좋음,2
2023-06-30:11,좋음,3
2023-06-30:10,좋음,8
2023-06-30:09,좋음,7
2023-06-30:08,좋음,4
2023-06-30:07,좋음,4
2023-06-30:06,좋음,6
2023-06-30:05,좋음,12
2023-06-30:04,좋음,6
2023-06-30:03,좋음,5
2023-06-30:02,좋음,6
2023-06-30:01,좋음,15
2023-06-29:24,좋음,16
2023-06-29:23,좋음,27
2023-06-29:22,좋음,21
2023-06-29:21,좋음,21
2023-06-29:20,좋음,29
2023-06-29:19,좋음,6
2023-06-29:18,좋음,21
2023-06-29:17,좋음,6
2023-06-29:16,좋음,5
2023-06-29:15,좋음,7
2023-06-29:14,좋음,12
2023-06-29:13,좋음,13
2023-06-29:12,좋음,13
2023-06-29:11,좋음,14
2023-06-29:10,좋음,13
2023-06-29:09,좋음,5
2023-06-29:08,좋음,5
2023-06-29:07,좋음,6
2023-06-29:06,좋음,9
2023-06-29:05,좋음,10
2023-06-29:04,좋음,15
2023-06-29:03,좋음,12
2023-06-29:02,좋음,19
2023-06-29:01,좋음,17
2023-06-28:24,좋음,13
2023-06-28:23,좋음,15
2023-06-28:22,좋음,19
2023-06-28:21,좋음,11
2023-06-28:20,좋음,16
2023-06-28:19,좋음,12
2023-06-28:18,좋음,19
2023-06-28:17,좋음,9
2023-06-28:16,좋음,9
2023-06-28:15,좋음,19
2023-06-28:14,좋음,27
2023-06-28:13,좋음,27
2023-06-28:12,좋음,17
2023-06-28:11,좋음,11
2023-06-28:10,좋음,3
2023-06-28:09,좋음,3
2023-06-28:08,좋음,3
2023-06-28:07,좋음,3
2023-06-28:06,좋음,3
2023-06-28:05,좋음,3
2023-06-28:04,좋음,2
2023-06-28:03,좋음,2
2023-06-28:02,좋음,2
2023-06-28:01,좋음,2
2023-06-27:24,좋음,2
2023-06-27:23,좋음,2
2023-06-27:22,좋음,3
2023-06-27:21,좋음,5
2023-06-27:20,좋음,8
2023-06-27:19,좋음,13
2023-06-27:18,좋음,20
2023-06-27:17,좋음,20
2023-06-27:16,좋음,16
2023-06-27:15,좋음,8
2023-06-27:14,좋음,10
2023-06-27:13,좋음,11
2023-06-27:12,좋음,11
2023-06-27:11,좋음,11
2023-06-27:10,좋음,12
2023-06-27:09,좋음,15
2023-06-27:08,좋음,14
2023-06-27:07,좋음,15
2023-06-27:06,좋음,9
2023-06-27:05,좋음,11
2023-06-27:04,좋음,16
2023-06-27:03,좋음,8
2023-06-27:02,좋음,3
2023-06-27:01,좋음,8
2023-06-26:24,좋음,13
2023-06-26:23,좋음,17
2023-06-26:22,좋음,14
2023-06-26:21,좋음,18
2023-06-26:20,좋음,10
2023-06-26:19,좋음,18
2023-06-26:18,좋음,13
2023-06-26:17,좋음,8
2023-06-26:16,좋음,9
2023-06-26:15,좋음,6
2023-06-26:14,좋음,6
2023-06-26:13,좋음,6
2023-06-26:12,좋음,4
2023-06-26:11,좋음,3
2023-06-26:10,좋음,3
2023-06-26:09,좋음,3
2023-06-26:08,좋음,2
2023-06-26:07,좋음,2
2023-06-26:06,좋음,2
2023-06-26:05,좋음,2
2023-06-26:04,좋음,2
2023-06-26:03,좋음,2
2023-06-26:02,좋음,3
2023-06-26:01,좋음,2
2023-06-25:24,좋음,4
2023-06-25:23,좋음,6
2023-06-25:22,좋음,4
2023-06-25:21,좋음,2
2023-06-25:20,좋음,4
2023-06-25:19,좋음,7
2023-06-25:18,좋음,7
2023-06-25:17,좋음,6
2023-06-25:16,좋음,8
2023-06-25:15,좋음,13
2023-06-25:14,좋음,12
2023-06-25:13,좋음,17
2023-06-25:12,좋음,21
2023-06-25:11,좋음,13
2023-06-25:10,좋음,18
2023-06-25:09,좋음,13
2023-06-25:08,좋음,10
2023-06-25:07,좋음,14
2023-06-25:06,좋음,6
2023-06-25:05,좋음,2
2023-06-25:04,좋음,5
2023-06-25:03,좋음,10
2023-06-25:02,좋음,11
2023-06-25:01,좋음,6
2023-06-24:24,좋음,7
2023-06-24:23,좋음,11
2023-06-24:22,좋음,12
2023-06-24:21,좋음,10
2023-06-24:20,좋음,9
2023-06-24:19,좋음,9
2023-06-24:18,좋음,13
2023-06-24:17,좋음,14
2023-06-24:16,좋음,16
2023-06-24:15,좋음,19
2023-06-24:14,좋음,20
2023-06-24:13,좋음,18
2023-06-24:12,좋음,13
2023-06-24:11,좋음,11
2023-06-24:10,좋음,11
2023-06-24:09,좋음,12
2023-06-24:08,좋음,12
2023-06-24:07,좋음,12
2023-06-24:06,좋음,12
2023-06-24:05,좋음,13
2023-06-24:04,좋음,11
2023-06-24:03,좋음,11
2023-06-24:02,좋음,11
2023-06-24:01,좋음,11
2023-06-23:24,좋음,16
2023-06-23:23,좋음,9
2023-06-23:22,좋음,17
2023-06-23:21,좋음,17
2023-06-23:20,좋음,14
2023-06-23:19,보통,31
2023-06-23:18,좋음,24
2023-06-23:17,좋음,20
2023-06-23:16,좋음,18
2023-06-23:15,좋음,30
2023-06-23:14,좋음,16
2023-06-23:13,좋음,18
2023-06-23:12,좋음,21
2023-06-23:11,좋음,23
2023-06-23:10,좋음,26
2023-06-23:09,좋음,10
2023-06-23:08,좋음,15
2023-06-23:07,좋음,11
2023-06-23:06,좋음,9
2023-06-23:05,좋음,6
2023-06-23:04,좋음,7
2023-06-23:03,좋음,10
2023-06-23:02,좋음,9
2023-06-23:01,좋음,11
2023-06-22:24,좋음,10
2023-06-22:23,좋음,12
2023-06-22:22,좋음,11
2023-06-22:21,좋음,10
2023-06-22:20,좋음,11
2023-06-22:19,좋음,10
2023-06-22:18,좋음,10
2023-06-22:17,좋음,13
2023-06-22:16,좋음,10
2023-06-22:15,좋음,13
2023-06-22:14,좋음,9
2023-06-22:13,좋음,8
2023-06-22:12,좋음,6
2023-06-22:11,좋음,6
2023-06-22:10,좋음,5
2023-06-22:09,좋음,7
2023-06-22:08,좋음,9
2023-06-22:07,좋음,8
2023-06-22:06,좋음,9
2023-06-22:05,좋음,7
2023-06-22:04,좋음,16
2023-06-22:03,좋음,7
2023-06-22:02,좋음,6
2023-06-22:01,좋음,10
2023-06-21:24,좋음,12
2023-06-21:23,좋음,7
2023-06-21:22,좋음,9
2023-06-21:21,좋음,4
2023-06-21:20,좋음,6
2023-06-21:19,좋음,11
2023-06-21:18,좋음,22
2023-06-21:17,좋음,25
2023-06-21:16,보통,35
2023-06-21:15,보통,35
2023-06-21:14,좋음,30
2023-06-21:13,좋음,24
2023-06-21:12,좋음,6
2023-06-21:11,좋음,4
2023-06-21:10,좋음,2
2023-06-21:09,좋음,4
2023-06-21:08,좋음,3
2023-06-21:07,좋음,2
2023-06-21:06,좋음,5
2023-06-21:05,좋음,3
2023-06-21:04,좋음,2
2023-06-21:03,좋음,6
2023-06-21:02,좋음,11
2023-06-21:01,좋음,4
2023-06-20:24,좋음,7
2023-06-20:23,좋음,12
2023-06-20:22,좋음,14
2023-06-20:21,좋음,9
2023-06-20:20,좋음,11
2023-06-20:19,좋음,28
2023-06-20:18,좋음,14
2023-06-20:17,좋음,28
2023-06-20:16,보통,32
2023-06-20:15,보통,32
2023-06-20:14,좋음,27
2023-06-20:13,보통,32
2023-06-20:12,보통,36
2023-06-20:11,보통,33
2023-06-20:10,좋음,28
2023-06-20:09,좋음,26
2023-06-20:08,좋음,28
2023-06-20:07,좋음,25
2023-06-20:06,좋음,23
2023-06-20:05,좋음,23
2023-06-20:04,좋음,30
2023-06-20:03,좋음,30
2023-06-20:02,보통,32
2023-06-20:01,좋음,30
2023-06-19:24,좋음,29
2023-06-19:23,좋음,28
2023-06-19:22,보통,36
2023-06-19:21,보통,32
2023-06-19:20,보통,35
2023-06-19:19,보통,34
2023-06-19:18,보통,40
2023-06-19:17,보통,46
2023-06-19:16,보통,59
2023-06-19:15,좋음,24
2023-06-19:14,보통,47
2023-06-19:13,보통,42
2023-06-19:12,보통,41
2023-06-19:11,보통,45
2023-06-19:10,보통,59
2023-06-19:09,보통,32
2023-06-19:08,좋음,29
2023-06-19:07,좋음,30
2023-06-19:06,좋음,28
2023-06-19:05,좋음,26
2023-06-19:04,좋음,26
2023-06-19:03,좋음,25
2023-06-19:02,좋음,22
2023-06-19:01,좋음,24
2023-06-18:24,좋음,21
2023-06-18:23,좋음,19
2023-06-18:22,좋음,23
2023-06-18:21,좋음,27
2023-06-18:20,좋음,20
2023-06-18:19,좋음,13
2023-06-18:18,좋음,27
2023-06-18:17,좋음,23
2023-06-18:16,좋음,19
2023-06-18:15,좋음,27
2023-06-18:14,좋음,24
2023-06-18:13,좋음,19
2023-06-18:12,좋음,19
2023-06-18:11,좋음,14
2023-06-18:10,좋음,16
2023-06-18:09,좋음,15
2023-06-18:08,좋음,14
2023-06-18:07,좋음,17
2023-06-18:06,좋음,19
2023-06-18:05,좋음,19
2023-06-18:04,좋음,20
2023-06-18:03,좋음,21
2023-06-18:02,좋음,19
2023-06-18:01,좋음,12
2023-06-17:24,좋음,17
2023-06-17:23,좋음,13
2023-06-17:22,좋음,18
2023-06-17:21,좋음,22
2023-06-17:20,좋음,16
2023-06-17:19,좋음,15
2023-06-17:18,좋음,19
2023-06-17:17,좋음,19
2023-06-17:16,좋음,18
2023-06-17:15,좋음,28
2023-06-17:14,보통,32
2023-06-17:13,보통,34
2023-06-17:12,보통,32
2023-06-17:11,좋음,21
2023-06-17:10,좋음,23
2023-06-17:09,좋음,16
2023-06-17:08,좋음,11
2023-06-17:07,좋음,14
2023-06-17:06,좋음,13
2023-06-17:05,좋음,17
2023-06-17:04,좋음,12
2023-06-17:03,좋음,10
2023-06-17:02,좋음,12
2023-06-17:01,좋음,11
2023-06-16:24,좋음,17
2023-06-16:23,좋음,13
2023-06-16:22,좋음,11
2023-06-16:21,좋음,14
2023-06-16:20,좋음,20
2023-06-16:19,좋음,23
2023-06-16:18,좋음,13
2023-06-16:17,좋음,9
2023-06-16:16,좋음,8
2023-06-16:15,좋음,9
2023-06-16:14,좋음,10
2023-06-16:13,좋음,14
2023-06-16:12,좋음,17
2023-06-16:11,좋음,26
2023-06-16:10,좋음,24
2023-06-16:09,좋음,23
2023-06-16:08,좋음,19
2023-06-16:07,좋음,17
2023-06-16:06,좋음,13
2023-06-16:05,좋음,16
2023-06-16:04,좋음,15
2023-06-16:03,좋음,10
2023-06-16:02,좋음,16
2023-06-16:01,좋음,21
2023-06-15:24,좋음,26
2023-06-15:23,좋음,25
2023-06-15:22,좋음,28
2023-06-15:21,좋음,23
2023-06-15:20,좋음,29
2023-06-15:19,좋음,23
2023-06-15:18,좋음,30
2023-06-15:17,좋음,27
2023-06-15:16,좋음,23
2023-06-15:15,보통,36
2023-06-15:14,보통,53
2023-06-15:13,보통,60
2023-06-15:12,보통,43
2023-06-15:11,좋음,24
2023-06-15:10,좋음,20
2023-06-15:09,좋음,13
2023-06-15:08,좋음,20
2023-06-15:07,좋음,16
2023-06-15:06,좋음,22
2023-06-15:05,좋음,17
2023-06-15:04,좋음,24
2023-06-15:03,좋음,19
2023-06-15:02,좋음,23
2023-06-15:01,좋음,23
2023-06-14:24,좋음,25
2023-06-14:23,좋음,24
2023-06-14:22,좋음,29
2023-06-14:21,좋음,24
2023-06-14:20,좋음,27
2023-06-14:19,좋음,25
2023-06-14:18,좋음,26
2023-06-14:17,좋음,27
2023-06-14:16,좋음,26
2023-06-14:15,좋음,25
2023-06-14:14,좋음,22
2023-06-14:13,좋음,17
2023-06-14:12,좋음,17
2023-06-14:11,좋음,21
2023-06-14:10,좋음,18
2023-06-14:09,좋음,21
2023-06-14:08,좋음,17
2023-06-14:07,좋음,11
2023-06-14:06,좋음,18
2023-06-14:05,좋음,9
2023-06-14:04,좋음,22
2023-06-14:03,좋음,17
2023-06-14:02,좋음,16
2023-06-14:01,좋음,13
2023-06-13:24,좋음,15
2023-06-13:23,좋음,12
2023-06-13:22,좋음,12
2023-06-13:21,좋음,12
2023-06-13:20,좋음,16
2023-06-13:19,좋음,13
2023-06-13:18,좋음,17
2023-06-13:17,좋음,15
2023-06-13:16,좋음,18
2023-06-13:15,좋음,15
2023-06-13:14,좋음,14
2023-06-13:13,좋음,20
2023-06-13:12,좋음,19
2023-06-13:11,좋음,17
2023-06-13:10,좋음,20
2023-06-13:09,좋음,18
2023-06-13:08,좋음,15
2023-06-13:07,좋음,13
2023-06-13:06,좋음,14
2023-06-13:05,좋음,15
2023-06-13:04,좋음,16
2023-06-13:03,좋음,17
2023-06-13:02,좋음,18
2023-06-13:01,좋음,8
2023-06-12:24,좋음,12
2023-06-12:23,좋음,12
2023-06-12:22,좋음,15
2023-06-12:21,좋음,17
2023-06-12:20,좋음,14
2023-06-12:19,좋음,11
2023-06-12:18,좋음,9
2023-06-12:17,좋음,11
2023-06-12:16,좋음,12
2023-06-12:15,좋음,7
2023-06-12:14,좋음,7
2023-06-12:13,좋음,7
2023-06-12:12,좋음,7
2023-06-12:11,좋음,10
2023-06-12:10,좋음,14
2023-06-12:09,좋음,9
2023-06-12:08,좋음,7
2023-06-12:07,좋음,7
2023-06-12:06,좋음,6
2023-06-12:05,좋음,5
2023-06-12:04,좋음,5
2023-06-12:03,좋음,6
2023-06-12:02,좋음,8
2023-06-12:01,좋음,6
2023-06-11:24,좋음,8
2023-06-11:23,좋음,7
2023-06-11:22,좋음,3
2023-06-11:21,좋음,4
2023-06-11:20,좋음,5
2023-06-11:19,좋음,7
2023-06-11:18,좋음,4
2023-06-11:17,좋음,3
2023-06-11:16,좋음,5
2023-06-11:15,좋음,7
2023-06-11:14,좋음,13
2023-06-11:13,좋음,11
2023-06-11:12,좋음,14
2023-06-11:11,좋음,14
2023-06-11:10,좋음,17
2023-06-11:09,좋음,14
2023-06-11:08,좋음,16
2023-06-11:07,좋음,17
2023-06-11:06,좋음,12
2023-06-11:05,좋음,13
2023-06-11:04,좋음,14
2023-06-11:03,좋음,8
2023-06-11:02,좋음,11
2023-06-11:01,좋음,12
2023-06-10:24,좋음,11
2023-06-10:23,좋음,15
2023-06-10:22,좋음,13
2023-06-10:21,좋음,6
2023-06-10:20,좋음,9
2023-06-10:19,좋음,12
2023-06-10:18,좋음,14
2023-06-10:17,좋음,14
2023-06-10:16,좋음,23
2023-06-10:15,좋음,21
2023-06-10:14,좋음,19
2023-06-10:13,좋음,18
2023-06-10:12,좋음,23
2023-06-10:11,좋음,16
2023-06-10:10,좋음,22
2023-06-10:09,좋음,19
2023-06-10:08,좋음,26
2023-06-10:07,좋음,17
2023-06-10:06,좋음,20
2023-06-10:05,좋음,16
2023-06-10:04,좋음,22
2023-06-10:03,좋음,16
2023-06-10:02,좋음,18
2023-06-10:01,좋음,20
2023-06-09:24,좋음,23
2023-06-09:23,좋음,23
2023-06-09:22,좋음,17
2023-06-09:21,좋음,21
2023-06-09:20,좋음,25
2023-06-09:19,좋음,29
2023-06-09:18,보통,32
2023-06-09:17,좋음,27
2023-06-09:16,좋음,30
2023-06-09:15,좋음,23
2023-06-09:14,좋음,20
2023-06-09:13,좋음,22
2023-06-09:12,좋음,27
2023-06-09:11,좋음,29
2023-06-09:10,좋음,25
2023-06-09:09,좋음,19
2023-06-09:08,좋음,16
2023-06-09:07,좋음,10
2023-06-09:06,좋음,12
2023-06-09:05,좋음,14
2023-06-09:04,좋음,13
2023-06-09:03,좋음,12
2023-06-09:02,좋음,16
2023-06-09:01,좋음,19
2023-06-08:24,좋음,16
2023-06-08:23,좋음,13
2023-06-08:22,좋음,13
2023-06-08:21,좋음,9
2023-06-08:20,좋음,10
2023-06-08:19,좋음,9
2023-06-08:18,좋음,13
2023-06-08:17,좋음,8
2023-06-08:16,좋음,8
2023-06-08:15,좋음,3
2023-06-08:14,좋음,6
2023-06-08:13,좋음,6
2023-06-08:12,좋음,5
2023-06-08:11,좋음,6
2023-06-08:10,좋음,8
2023-06-08:09,좋음,9
2023-06-08:08,좋음,9
2023-06-08:07,좋음,14
2023-06-08:06,좋음,9
2023-06-08:05,좋음,12
2023-06-08:04,좋음,11
2023-06-08:03,좋음,12
2023-06-08:02,좋음,14
2023-06-08:01,좋음,17
2023-06-07:24,좋음,12
2023-06-07:23,좋음,17
2023-06-07:22,좋음,12
2023-06-07:21,좋음,15
2023-06-07:20,좋음,23
2023-06-07:19,좋음,23
2023-06-07:18,좋음,20
2023-06-07:17,좋음,21
2023-06-07:16,좋음,16
2023-06-07:15,좋음,16
2023-06-07:14,좋음,22
2023-06-07:13,좋음,27
2023-06-07:12,좋음,19
2023-06-07:11,좋음,27
2023-06-07:10,보통,31
2023-06-07:09,좋음,15
2023-06-07:08,좋음,18
2023-06-07:07,좋음,17
2023-06-07:06,좋음,19
2023-06-07:05,좋음,16
2023-06-07:04,좋음,14
2023-06-07:03,좋음,19
2023-06-07:02,좋음,15
2023-06-07:01,좋음,20
2023-06-06:24,좋음,18
2023-06-06:23,좋음,17
2023-06-06:22,좋음,16
2023-06-06:21,좋음,12
2023-06-06:20,좋음,16
2023-06-06:19,좋음,11
2023-06-06:18,좋음,26
2023-06-06:17,좋음,24
2023-06-06:16,좋음,27
2023-06-06:15,좋음,28
2023-06-06:14,좋음,30
2023-06-06:13,좋음,26
2023-06-06:12,좋음,26
2023-06-06:11,좋음,19
2023-06-06:10,좋음,21
2023-06-06:09,좋음,21
2023-06-06:08,좋음,18
2023-06-06:07,좋음,20
2023-06-06:06,좋음,13
2023-06-06:05,좋음,20
2023-06-06:04,좋음,18
2023-06-06:03,좋음,11
2023-06-06:02,좋음,12
2023-06-06:01,좋음,14
2023-06-05:24,좋음,14
2023-06-05:23,좋음,13
2023-06-05:22,좋음,15
2023-06-05:21,좋음,12
2023-06-05:20,좋음,19
2023-06-05:19,좋음,17
2023-06-05:18,좋음,10
2023-06-02:09,좋음,4
2023-06-02:08,좋음,5
2023-06-02:07,좋음,8
2023-06-02:06,좋음,6
2023-06-02:05,좋음,8
2023-06-02:04,좋음,7
2023-06-02:03,좋음,10
2023-06-02:02,좋음,18
2023-06-02:01,좋음,15
2023-06-01:24,좋음,19
2023-06-01:23,좋음,20
2023-06-01:22,좋음,21
2023-06-01:21,좋음,24
2023-06-01:20,좋음,19
2023-06-01:19,좋음,22
2023-06-01:18,보통,32
2023-06-01:17,좋음,28
2023-06-01:16,좋음,20
2023-06-01:15,좋음,14
2023-06-01:14,좋음,15
2023-06-01:13,좋음,11
2023-06-01:12,좋음,12
2023-06-01:11,좋음,13
2023-06-01:10,좋음,14
2023-06-01:09,좋음,18
2023-06-01:08,좋음,17
2023-06-01:07,좋음,19
2023-06-01:06,좋음,16
2023-06-01:05,좋음,17
2023-06-01:04,좋음,18
2023-06-01:03,좋음,17
2023-06-01:02,좋음,21
2023-06-01:01,좋음,19
